codigo_interno,etapa,core,linha,produto_compra,eixo_a,eixo_b,novo_sku,sku_atual
30Q-O3A,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"10,0 mm - 3/8'","VERGALHÃO 12M 10,0 mm - 3/8'","VERGALHÃO DE FERRO 12M 10,0 MM - 3/8'"
5NJ-85T,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"06,3 mm - 1/4'","VERGALHÃO 12M 06,3 mm - 1/4'","VERGALHÃO DE FERRO 12M 06,3 MM - 1/4'"
6PK-LII,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"05,0 mm- 3/16'","VERGALHÃO 12M 05,0 mm- 3/16'","VERGALHÃO DE FERRO 12M 05,0 MM- 3/16'"
9DX-1X2,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,06M,"12,7 mm - 1/2'","VERGALHÃO 06M 12,7 mm - 1/2'","VERGALHÃO DE FERRO 06M 12,7 MM - 1/2'"
MK3-DTC,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"04,2 mm - 3/16'","VERGALHÃO 12M 04,2 mm - 3/16'","VERGALHÃO DE FERRO 12M 04,2 MM - 3/16'"
S0B-VHV,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"08,0 mm - 5/16'","VERGALHÃO 12M 08,0 mm - 5/16'","VERGALHÃO DE FERRO 12M 08,0 MM - 5/16'"
U0E-HK2,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,VERGALHÃO,12M,"12,7 mm - 1/2'","VERGALHÃO 12M 12,7 mm - 1/2'","VERGALHÃO DE FERRO 12M 12,7 MM - 1/2'"
0Y7-XU3,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·C,COMPENSADO,20 X 1,,COMPENSADO 20 X 1,"COMPENSADO 2,20 X 1,10 X 18,00 MM"
7RX-QB4,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·C,COMPENSADO,44 X 1,,COMPENSADO 44 X 1,"COMPENSADO 2,44 X 1,22 X 04,00 MM"
AY6-J2X,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·C,COMPENSADO,20 X 1,,COMPENSADO 20 X 1,"COMPENSADO 2,20 X 1,10 X 10,00 MM"
LSY-7OD,1 — Estrutura / alvenaria,ALVENARIA,MATERIAIS BÁSICOS·C,COMPENSADO,20 X 1,,COMPENSADO 20 X 1,"COMPENSADO 2,20 X 1,10 X 04,00 MM"
2IB-P0W,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,FORRO PVC,8mm x 20cm x 6m,BRANCO,FORRO PVC 8mm x 20cm x 6m BRANCO,FORRO PVC 8MM X 20CM X 6M BRANCO FRISADO
683-4QL,2 — Cobertura,,DIVERSOS,FORRO PVC,8mm x 20cm x 6m,BRANCO,FORRO PVC 8mm x 20cm x 6m BRANCO,FORRO PVC 8MM X 20CM X 6M BRANCO CANALADO GEMINI
LSZ-65P,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,PERFIL DE PVC,,,PERFIL DE PVC,PERFIL DE PVC COLONIAL BRANCO 06M #G
QYI-7MI,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,PERFIL DE PVC,,,PERFIL DE PVC,PERFIL DE PVC F 06M #G
LXE-85B,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,PERFIL DE PVC,,,PERFIL DE PVC,PERFIL DE PVC H 06M #G
E6M-3SX,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,PERFIL DE PVC,,,PERFIL DE PVC,PERFIL DE PVC U 06M #G
SF1-94T,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,TELA,,,TELA,"TELA PARA MOSQUITEIRO VERDE 1,20 X 50"
9RL-L6C,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,TELA,,,TELA,"TELA PARA MOSQUITO VERDE 1,00 X 50,00"
KOK-ML9,1 — Estrutura / alvenaria,ARMADURA,VERGALHÃO·N,TELA,,,TELA,"TELA PARA MOSQUITO VERDE 1,50 X 50"
S4W-9FU,2 — Cobertura,COBERTURA,COBERTURAS E FORROS,TELHA ONDULADA GALVALUME GSP,66 X 2,,TELHA ONDULADA GALVALUME GSP 66 X 2,"TELHA ONDULADA GALVALUME GSP 0,66 X 2,44 M NORTFORT 0,6"
3O8-PH9,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,ADAPTADOR CAIXA D'ÁGUA,20MM X 1/2',,ADAPTADOR CAIXA D'ÁGUA 20MM X 1/2',ADAPTADOR P/ CX. D'ÁGUA 20MM X 1/2'
3P5-9FP,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,ADAPTADOR CAIXA D'ÁGUA,25MM X 3/4',,ADAPTADOR CAIXA D'ÁGUA 25MM X 3/4',ADAPTADOR P/ CX. D'ÁGUA 25MM X 3/4'
54Z-SPY,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,ADAPTADOR CAIXA D'ÁGUA,50MM X 1 1/2',,ADAPTADOR CAIXA D'ÁGUA 50MM X 1 1/2',ADAPTADOR P/ CX. D'ÁGUA 50MM X 1 1/2'
9WY-VB1,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,ADAPTADOR CAIXA D'ÁGUA,32MM X 1,,ADAPTADOR CAIXA D'ÁGUA 32MM X 1,ADAPTADOR P/ CX. D'ÁGUA 32MM X 1
A43-3DA,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,ADAPTADOR CAIXA D'ÁGUA,40MM X 1 1/4',,ADAPTADOR CAIXA D'ÁGUA 40MM X 1 1/4',ADAPTADOR P/ CX. D'ÁGUA 40MM X 1 1/4'
O6X-7DK,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,ADAPTADOR CAIXA D'ÁGUA,60MM X 2,,ADAPTADOR CAIXA D'ÁGUA 60MM X 2,ADAPTADOR P/ CX. D'ÁGUA 60MM X 2
0DB-3HP,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,ADAPTADOR SOLDÁVEL,25MM X 3/4',,ADAPTADOR SOLDÁVEL 25MM X 3/4',ADAPTADOR SOLDÁVEL MISTO 25MM X 3/4'
B5V-UZH,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,ADAPTADOR SOLDÁVEL,32MM X 1,,ADAPTADOR SOLDÁVEL 32MM X 1,ADAPTADOR SOLDÁVEL MISTO 32MM X 1
H1H-6T2,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,ADAPTADOR SOLDÁVEL,50MM X 1 1/2',,ADAPTADOR SOLDÁVEL 50MM X 1 1/2',ADAPTADOR SOLDÁVEL MISTO 50MM X 1 1/2'
V8W-IZA,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,ADAPTADOR SOLDÁVEL,20MM X 1/2',,ADAPTADOR SOLDÁVEL 20MM X 1/2',ADAPTADOR SOLDÁVEL MISTO 20MM X 1/2'
YOV-I2B,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,ADAPTADOR SOLDÁVEL,40MM X 1 1/4',,ADAPTADOR SOLDÁVEL 40MM X 1 1/4',ADAPTADOR SOLDÁVEL MISTO 40MM X 1 1/4'
NPH-H9H,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,BOCA DE LOBO,,,BOCA DE LOBO,BOCA DE LOBO
JPO-SR4,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,BOCAL,C/ RABICHO,,BOCAL C/ RABICHO,BOCAL C/ RABICHO
6CQ-681,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,BUCHA ELETRODUTO,1/2',INCA,BUCHA ELETRODUTO 1/2' INCA,BUCHA ELETRODUTO 1/2' INCA
9GK-AC6,3 — Instalações brutas,INFRA_ELETRICA,ELETRODUTO,BUCHA ELETRODUTO,1'',INCA,BUCHA ELETRODUTO 1'' INCA,BUCHA ELETRODUTO 1'' INCA
