codigo_interno,etapa,core,linha,produto_compra,eixo_a,eixo_b,novo_sku,sku_atual
7VH-2RD,3 — Instalações brutas,ESGOTO,ESGOTO,JOELHO ESGOTO 90,,40 MM,JOELHO ESGOTO 90 40 MM,JOELHO ESGOTO 90 40 MM
83H-EON,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 45° SOLDÁVEL,,25 MM,JOELHO 45° SOLDÁVEL 25 MM,JOELHO SOLDÁVEL 45 25 MM
8F8-XNT,3 — Instalações brutas,ESGOTO,ESGOTO,JOELHO ESGOTO 90,,100 MM,JOELHO ESGOTO 90 100 MM,JOELHO ESGOTO 90 100 MM
9CE-CYV,3 — Instalações brutas,ESGOTO,ESGOTO,JOELHO ESGOTO 45,,100 MM,JOELHO ESGOTO 45 100 MM,JOELHO ESGOTO 45 100 MM
BF7-R70,3 — Instalações brutas,ESGOTO,ESGOTO,JOELHO ESGOTO 45,,75 MM,JOELHO ESGOTO 45 75 MM,JOELHO ESGOTO 45 75 MM
DC8-FGV,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 90° SOLDÁVEL,,50 MM,JOELHO 90° SOLDÁVEL 50 MM,JOELHO SOLDÁVEL 90 50 MM
E7X-38C,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,JOELHO ROSCÁVEL 90,,1/2',JOELHO ROSCÁVEL 90 1/2',JOELHO ROSCÁVEL 90 1/2'
F0M-DBG,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 90° SOLDÁVEL,,25 MM,JOELHO 90° SOLDÁVEL 25 MM,JOELHO SOLDÁVEL 90 25 MM
IB1-E7T,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 90° SOLDÁVEL,,40 MM,JOELHO 90° SOLDÁVEL 40 MM,JOELHO SOLDÁVEL 90 40 MM
JN1-Y25,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 90° SOLDÁVEL,,20 MM,JOELHO 90° SOLDÁVEL 20 MM,JOELHO SOLDÁVEL 90 20 MM
JUX-5XI,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 90° SOLDÁVEL,,25 MM X 20 MM,JOELHO 90° SOLDÁVEL 25 MM X 20 MM,JOELHO SOLDÁVEL 90 25 MM X 20 MM
OHO-DP7,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 90° SOLDÁVEL,,60 MM,JOELHO 90° SOLDÁVEL 60 MM,JOELHO SOLDÁVEL 90 60 MM
OZS-471,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO MISTO SOLDÁVEL,,25 MM X 1/2',JOELHO MISTO SOLDÁVEL 25 MM X 1/2',JOELHO SOLDÁVEL MISTO 25 MM X 1/2'
Q38-37S,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 45° SOLDÁVEL,,20 MM,JOELHO 45° SOLDÁVEL 20 MM,JOELHO SOLDÁVEL 45 20 MM
TXU-V1O,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO MISTO SOLDÁVEL,,20 MM,JOELHO MISTO SOLDÁVEL 20 MM,JOELHO SOLDÁVEL MISTO 20 MM
U5Q-Z78,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 45° SOLDÁVEL,,40 MM,JOELHO 45° SOLDÁVEL 40 MM,JOELHO SOLDÁVEL 45 40 MM
U7C-C6K,3 — Instalações brutas,ESGOTO,ESGOTO,JOELHO ESGOTO 90,,200 MM,JOELHO ESGOTO 90 200 MM,JOELHO ESGOTO 90 200 MM
WQR-82V,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,JOELHO ROSCÁVEL 90,,1,JOELHO ROSCÁVEL 90 1,JOELHO ROSCÁVEL 90 1
XDH-F8W,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,JOELHO 90° SOLDÁVEL,,32 MM X 25 MM,JOELHO 90° SOLDÁVEL 32 MM X 25 MM,JOELHO SOLDÁVEL 90 32 MM X 25 MM
3TX-ER0,3 — Instalações brutas,ESGOTO,ESGOTO,JUNÇÃO,ESGOTO,40 MM,JUNÇÃO ESGOTO 40 MM,JUNÇÃO ESGOTO 40 MM
4X0-7KN,3 — Instalações brutas,ESGOTO,ESGOTO,JUNÇÃO,ESGOTO,100 X 75,JUNÇÃO ESGOTO 100 X 75,JUNÇÃO ESGOTO 100 X 75
8QE-OBM,3 — Instalações brutas,ESGOTO,ESGOTO,JUNÇÃO,ESGOTO,100 X 50,JUNÇÃO ESGOTO 100 X 50,JUNÇÃO ESGOTO 100 X 50
91P-RXQ,3 — Instalações brutas,ESGOTO,ESGOTO,JUNÇÃO,ESGOTO,50 MM,JUNÇÃO ESGOTO 50 MM,JUNÇÃO ESGOTO 50 MM
DHS-C2J,3 — Instalações brutas,ESGOTO,ESGOTO,JUNÇÃO,ESGOTO,50 MM,JUNÇÃO ESGOTO 50 MM,JUNÇÃO ESGOTO 50 MM
G9H-92H,3 — Instalações brutas,ESGOTO,ESGOTO,JUNÇÃO,ESGOTO,100 MM,JUNÇÃO ESGOTO 100 MM,JUNÇÃO ESGOTO 100 MM
1NX-PJZ,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,LUVA REDUÇÃO SOLDÁVEL,40MM X 32MM,,LUVA REDUÇÃO SOLDÁVEL 40MM X 32MM,LUVA SOLDÁVEL REDUÇÃO 40MM X 32MM
3V5-X22,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,LUVA REDUÇÃO SOLDÁVEL,32MM X 25MM,,LUVA REDUÇÃO SOLDÁVEL 32MM X 25MM,LUVA SOLDÁVEL REDUÇÃO 32MM X 25MM
6WU-D6O,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,LUVA SOLDÁVEL,50 MM,,LUVA SOLDÁVEL 50 MM,LUVA SOLDÁVEL 50 MM
7YY-JUV,3 — Instalações brutas,ESGOTO,ESGOTO,LUVA ESGOTO,50 MM,,LUVA ESGOTO 50 MM,LUVA ESGOTO 50 MM
8RH-URB,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,LUVA SOLDÁVEL,60 MM,,LUVA SOLDÁVEL 60 MM,LUVA SOLDÁVEL 60 MM
AC7-L18,3 — Instalações brutas,ESGOTO,ESGOTO,LUVA ESGOTO,150 MM,,LUVA ESGOTO 150 MM,LUVA ESGOTO 150 MM
HXN-C4T,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,LUVA ROSCÁVEL,1,,LUVA ROSCÁVEL 1,LUVA ROSCÁVEL 1
I5U-GVF,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,LUVA SOLDÁVEL,20 MM,,LUVA SOLDÁVEL 20 MM,LUVA SOLDÁVEL 20 MM
QMK-M8W,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,LUVA REDUÇÃO SOLDÁVEL,25MM X 20MM,,LUVA REDUÇÃO SOLDÁVEL 25MM X 20MM,LUVA SOLDÁVEL REDUÇÃO 25MM X 20MM
R5N-JDY,3 — Instalações brutas,ESGOTO,ESGOTO,LUVA ESGOTO,100 MM,,LUVA ESGOTO 100 MM,LUVA ESGOTO 100 MM
S89-21H,3 — Instalações brutas,ESGOTO,ESGOTO,LUVA ESGOTO,40 MM,,LUVA ESGOTO 40 MM,LUVA ESGOTO 40 MM
SI1-V17,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,LUVA SOLDÁVEL,25 MM,,LUVA SOLDÁVEL 25 MM,LUVA SOLDÁVEL 25 MM
TVX-3ZN,3 — Instalações brutas,ESGOTO,ESGOTO,LUVA ESGOTO,75 MM,,LUVA ESGOTO 75 MM,LUVA ESGOTO 75 MM
ZB6-PHY,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,LUVA ROSCÁVEL,1/2',,LUVA ROSCÁVEL 1/2',LUVA ROSCÁVEL 1/2'
ZH3-DAA,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,LUVA ROSCÁVEL,3/4',,LUVA ROSCÁVEL 3/4',LUVA ROSCÁVEL 3/4'
W1X-SW3,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,MANGUEIRA CRISTAL DE NIVEL,1/4,,MANGUEIRA CRISTAL DE NIVEL 1/4,MANGUEIRA CRISTAL DE NIVEL 1/4
9PZ-G3O,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,MANGUEIRA LAVADORA,40M,,MANGUEIRA LAVADORA 40M,"MANGUEIRA P/ MAQUINA DE LAVAR 1,40M"
G89-G92,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,MECANISMO UNIVERSAL SUP,,,MECANISMO UNIVERSAL SUP,MECANISMO UNIVERSAL SUP
H05-FSM,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,NIPEL ROSCÁVEL,1,,NIPEL ROSCÁVEL 1,NIPEL ROSCAVEL 1
HO6-RZ8,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,NIPEL ROSCÁVEL,1 1/2,,NIPEL ROSCÁVEL 1 1/2,NIPEL ROSCAVEL 1 1/2
0UA-0IH,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,NIPEL ROSCÁVEL,1/2,,NIPEL ROSCÁVEL 1/2,NIPEL ROSCAVEL 1/2
WX2-4P2,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,NIPEL ROSCÁVEL,3/4,,NIPEL ROSCÁVEL 3/4,NIPEL ROSCAVEL 3/4
COA-F09,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,RALO,100X100X50,,RALO 100X100X50,RALO CX SINF C/SAIDA ARTICULADA QUADRADO 100X100X50 - KRONA
HTY-5R9,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,RALO,,,RALO,RALO SIMPLES QUADRADO - SOCEL
R2C-HIW,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,RALO,100X52X40,,RALO 100X52X40,RALO SIMPLES QUADRADO 100X52X40 - KRONA
1KL-WNB,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,,,REGISTRO ESFERA,REGISTRO ESF LATAO 2 PASS PLENA #2(*)
IB2-73R,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,3/4,,REGISTRO ESFERA 3/4,REGISTRO ESF LATAO 3/4PASS PLENA #12(*)
S5Z-3PF,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO,60MM,,REGISTRO 60MM,REGISTRO ESFEERA SOLDAVEL 60MM PVC
67O-V56,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,20MM,,REGISTRO ESFERA 20MM,REGISTRO ESFERA PLAST 20MM SOLDAVEL - VEPS120
WNR-CI9,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,25MM,,REGISTRO ESFERA 25MM,REGISTRO ESFERA PLAST 25MM SOLDAVEL - VEPS125
FF6-WZ9,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,20MM,,REGISTRO ESFERA 20MM,REGISTRO ESFERA PLASTICO 20MM SOLDAVEL - VEPS120
U8D-260,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,25MM,,REGISTRO ESFERA 25MM,REGISTRO ESFERA PLASTICO 25MM SOLDAVEL - VEPS125
IHS-86X,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,32MM,,REGISTRO ESFERA 32MM,REGISTRO ESFERA PLASTICO 32MM SOLDAVEL - VEPS132
TY1-L16,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,32MM,,REGISTRO ESFERA 32MM,REGISTRO ESFERA PLASTICO 32MM SOLDAVEL - VEPS132
0JH-QC6,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,40MM,,REGISTRO ESFERA 40MM,REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140
LQ7-MUY,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,40MM,,REGISTRO ESFERA 40MM,REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140
5CC-7CJ,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,50MM,,REGISTRO ESFERA 50MM,REGISTRO ESFERA PLASTICO 50MM SOLDAVEL - VEPS150
VU4-HEU,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,60MM,,REGISTRO ESFERA 60MM,REGISTRO ESFERA PLASTICO 60MM SOLDAVEL - VEPS160
E55-9HQ,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,1/2,,REGISTRO ESFERA 1/2,REGISTRO ESFERA ROSCÁVEL INTERNA 1/2
TBN-RG2,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,3/4,,REGISTRO ESFERA 3/4,REGISTRO ESFERA ROSCÁVEL INTERNA 3/4 DIV
O0W-QOD,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,,,REGISTRO ESFERA,REGISTRO ESFERA ROSCÁVEL METAL 1
FP8-JSG,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,1/2,,REGISTRO ESFERA 1/2,REGISTRO ESFERA ROSCÁVEL METAL 1 1/2
BKI-Z0Q,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,1/2,,REGISTRO ESFERA 1/2,REGISTRO ESFERA ROSCÁVEL METAL 1/2
W11-5BF,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,3/4,,REGISTRO ESFERA 3/4,REGISTRO ESFERA ROSCÁVEL METAL 3/4
ZJA-9CU,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,20MM,,REGISTRO ESFERA 20MM,REGISTRO ESFERA SOLDÁVEL 20MM PVC
F0D-5LW,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO ESFERA,25MM,,REGISTRO ESFERA 25MM,REGISTRO ESFERA SOLDÁVEL 25MM PVC
BJY-X0P,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO GAVETA,1/2,,REGISTRO GAVETA 1/2,REGISTRO GAVETA LATAO 1/2 (*)
02Q-PPC,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO GAVETA,3/4,,REGISTRO GAVETA 3/4,REGISTRO GAVETA LATAO 3/4 (*)
G9D-HYN,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO,1/2,,REGISTRO 1/2,REGISTRO HERC P/MAQ LAVAR BR 1/2
34Z-LW8,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO PRESSÃO,1/2,,REGISTRO PRESSÃO 1/2,REGISTRO HERC PRESSÃO ROSC C/CANOPLA 1/2
DRA-98G,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO PRESSÃO,,,REGISTRO PRESSÃO,REGISTRO PRESSAO J2 DN15
191-IHY,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO PRESSÃO,,,REGISTRO PRESSÃO,REGISTRO PRESSAO J2 DN20
XDT-AZ2,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO PRESSÃO,,,REGISTRO PRESSÃO,REGISTRO PRESSAO J4 DN15
5C4-IXK,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO PRESSÃO,,,REGISTRO PRESSÃO,REGISTRO PRESSAO J4 DN20
E1K-1HU,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO,20MM,,REGISTRO 20MM,REGISTRO ROSCÁVEL HERC EXTERNA 20MM
NOB-34A,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGISTRO,25MM,,REGISTRO 25MM,REGISTRO ROSCÁVEL HERC EXTERNA 25MM
0MM-9Y1,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGULADOR P/GAS SEM MANGUEIRA,,,REGULADOR P/GAS SEM MANGUEIRA,REGULADOR P/GAS SEM MANGUEIRA
8T0-BZ8,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REGULADOR P/GAS SEM MANGUEIRA,,,REGULADOR P/GAS SEM MANGUEIRA,REGULADOR P/GAS SEM MANGUEIRA
39E-AH5,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,REPARO P/REGISTRO,,,REPARO P/REGISTRO,REPARO P/REGISTRO
AAO-UL8,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,SIFÃO,,,SIFÃO,SIFAO BRANCO
I1F-GOK,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,SIFÃO,1/2,,SIFÃO 1/2,SIFAO METALICO DE 1.1/2 X 1.1/2
9W0-FQI,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,SIFÃO,1/4,,SIFÃO 1/4,SIFAO METALICO DE 1.1/4 X 1.1/2
D9R-QDT,3 — Instalações brutas,HIDRAULICA_GERAL,HIDRÁULICA,SIFÃO,,,SIFÃO,SIFAO PLASBOHN DUPLO
Y5C-13A,3 — Instalações brutas,,MATERIAL ELÉTRICO,TAPA-FURO,20MM,,TAPA-FURO 20MM,TAPA-FURO DE 20mm
THW-0LC,3 — Instalações brutas,,MATERIAL ELÉTRICO,TAPA-FURO,25MM,,TAPA-FURO 25MM,TAPA-FURO DE 25mm
Z97-NPR,3 — Instalações brutas,,MATERIAL ELÉTRICO,TAPA-FURO,32 MM,,TAPA-FURO 32 MM,TAPA-FURO DE 32 MM
2DD-8PK,3 — Instalações brutas,,MATERIAL ELÉTRICO,TAPA-FURO,50 MM,,TAPA-FURO 50 MM,TAPA-FURO DE 50 MM
0XZ-8TV,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,TE ROSCÁVEL,1/2',,TE ROSCÁVEL 1/2',TE ROSCAVEL 1/2'
1PD-T1K,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TE SOLDÁVEL MISTO,MISTO,25 MM,TE SOLDÁVEL MISTO MISTO 25 MM,TE SOLDÁVEL MISTO 25 MM
41T-EOZ,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TE SOLDÁVEL,20MM,,TE SOLDÁVEL 20MM,TE SOLDAVEL 20MM
5ZO-VT8,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TE SOLDÁVEL MISTO,MISTO,20 MM,TE SOLDÁVEL MISTO MISTO 20 MM,TE SOLDÁVEL MISTO 20 MM
7LR-G4P,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TE SOLDÁVEL,40MM,,TE SOLDÁVEL 40MM,TE SOLDAVEL 40MM
91Y-WUR,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TE SOLDÁVEL,25MM,,TE SOLDÁVEL 25MM,TE SOLDAVEL 25MM
AAR-0QU,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,TE ROSCÁVEL,1 1/4,,TE ROSCÁVEL 1 1/4,TE ROSCAVEL 1 1/4
AKW-18Z,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TE SOLDÁVEL,32MM,,TE SOLDÁVEL 32MM,TE SOLDAVEL 32MM
FCZ-7G9,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TE SOLDÁVEL,60MM,,TE SOLDÁVEL 60MM,TE SOLDAVEL 60MM
GI1-7KS,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TE SOLDÁVEL MISTO,MISTO,25 MM - 1/2,TE SOLDÁVEL MISTO MISTO 25 MM - 1/2,TE SOLDÁVEL MISTO 25 MM - 1/2
KJM-I43,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,TE ROSCÁVEL,3/4,,TE ROSCÁVEL 3/4,TE ROSCAVEL 3/4
OVW-K1L,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TE SOLDÁVEL,50MM,,TE SOLDÁVEL 50MM,TE SOLDAVEL 50MM
RQ3-5VQ,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,TE ROSCÁVEL,1,,TE ROSCÁVEL 1,TE ROSCAVEL 1
X2D-HFL,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,TE ROSCÁVEL,1 1/2,,TE ROSCÁVEL 1 1/2,TE ROSCAVEL 1 1/2
Z32-Y6P,3 — Instalações brutas,ESGOTO,ESGOTO,TE ESGOTO,100MM,,TE ESGOTO 100MM,TE ESGOTO 100MM
68S-F0X,3 — Instalações brutas,ESGOTO,ESGOTO,TE ESGOTO,100MM X 50MM,,TE ESGOTO 100MM X 50MM,TE ESGOTO 100MM X 50MM
OAV-P8T,3 — Instalações brutas,ESGOTO,ESGOTO,TE ESGOTO,150MM,,TE ESGOTO 150MM,TE ESGOTO 150MM
QO0-PW5,3 — Instalações brutas,ESGOTO,ESGOTO,TE ESGOTO,40MM,,TE ESGOTO 40MM,TE ESGOTO 40MM
X28-HFD,3 — Instalações brutas,ESGOTO,ESGOTO,TE ESGOTO,50MM,,TE ESGOTO 50MM,TE ESGOTO 50MM
BL4-2TI,3 — Instalações brutas,ESGOTO,ESGOTO,TE ESGOTO,75MM,,TE ESGOTO 75MM,TE ESGOTO 75MM
1R6-4OR,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TUBO SOLDÁVEL,25 MM,,TUBO SOLDÁVEL 25 MM,TUBO SOLDAVEL 25 MM
4CK-MOO,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,TUBO ROSCÁVEL,1/2,,TUBO ROSCÁVEL 1/2,TUBO ROSCAVEL 1/2
4T9-P2G,3 — Instalações brutas,ESGOTO,ESGOTO,TUBO OCRE,100 MM,,TUBO OCRE 100 MM,TUBO OCRE P/POÇO 100 MM
9NU-157,3 — Instalações brutas,ESGOTO,ESGOTO,TUBO ESGOTO,150 MM,,TUBO ESGOTO 150 MM,TUBO ESGOTO 150 MM
9SY-XJ9,3 — Instalações brutas,ESGOTO,ESGOTO,TUBO ESGOTO,50 MM,,TUBO ESGOTO 50 MM,TUBO ESGOTO 50 MM
BQU-8VD,3 — Instalações brutas,ESGOTO,ESGOTO,TUBO ESGOTO,75 MM,,TUBO ESGOTO 75 MM,TUBO ESGOTO 75 MM
CU5-NW3,3 — Instalações brutas,ESGOTO,ESGOTO,TUBO OCRE,150 MM,,TUBO OCRE 150 MM,TUBO OCRE P/POÇO 150 MM
GN8-4RU,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TUBO SOLDÁVEL,32 MM,,TUBO SOLDÁVEL 32 MM,TUBO SOLDAVEL 32 MM
H5W-HQG,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TUBO SOLDÁVEL,40 MM,,TUBO SOLDÁVEL 40 MM,TUBO SOLDAVEL 40 MM
NM1-DCE,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TUBO SOLDÁVEL,20 MM,,TUBO SOLDÁVEL 20 MM,TUBO SOLDAVEL 20 MM
TL6-0SX,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TUBO SOLDÁVEL,60 MM,,TUBO SOLDÁVEL 60 MM,TUBO SOLDAVEL 60 MM
Z09-BDV,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,TUBO SOLDÁVEL,50 MM,,TUBO SOLDÁVEL 50 MM,TUBO SOLDAVEL 50 MM
ZIP-C05,3 — Instalações brutas,ESGOTO,ESGOTO,TUBO ESGOTO,40 MM,,TUBO ESGOTO 40 MM,TUBO ESGOTO 40 MM
ZZZ-96V,3 — Instalações brutas,ESGOTO,ESGOTO,TUBO ESGOTO,100 MM,,TUBO ESGOTO 100 MM,TUBO ESGOTO 100 MM
17Y-N2V,3 — Instalações brutas,ESGOTO,ESGOTO,TUBO DESCARGA,,,TUBO DESCARGA,TUBO DESCARGA 40MM
GJV-9VV,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,TUBO GALVANIZADO,16,,TUBO GALVANIZADO 16,TUBO GALVANIZADO 16 16
2EL-PZW,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,UNIÃO SOLDÁVEL,25MM,,UNIÃO SOLDÁVEL 25MM,UNIAO SOLDAVEL 25MM
K1Z-QVC,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,UNIÃO SOLDÁVEL,20MM,,UNIÃO SOLDÁVEL 20MM,UNIAO SOLDAVEL 20MM
KTL-R51,3 — Instalações brutas,AGUA_FRIA_SOLDAVEL,SOLDÁVEL,UNIÃO SOLDÁVEL,32MM,,UNIÃO SOLDÁVEL 32MM,UNIAO SOLDAVEL 32MM
F0W-BAJ,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,UNIAO ROSCÁVEL,1,,UNIAO ROSCÁVEL 1,UNIAO ROSCAVEL 1
WO3-P8D,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,UNIAO ROSCÁVEL,1 1/2,,UNIAO ROSCÁVEL 1 1/2,UNIAO ROSCAVEL 1 1/2
YS0-WFH,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,UNIAO ROSCÁVEL,1 1/4,,UNIAO ROSCÁVEL 1 1/4,UNIAO ROSCAVEL 1 1/4
V3Y-F18,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,UNIAO ROSCÁVEL,1/2,,UNIAO ROSCÁVEL 1/2,UNIAO ROSCAVEL 1/2
YU6-OS4,3 — Instalações brutas,AGUA_FRIA_ROSCAVEL,ROSCÁVEL,UNIAO ROSCÁVEL,3/4,,UNIAO ROSCÁVEL 3/4,UNIAO ROSCAVEL 3/4
6XT-SPP,3 — Instalações brutas,PADRAO_ELETRICO,MATERIAL ELÉTRICO·N,ARMAÇÃO NUCLEAR P/ PONTALETE,TRIFÁSICA 4 POLOS,,ARMAÇÃO NUCLEAR P/ PONTALETE TRIFÁSICA 4 POLOS,ARMAÇÃO NUCLEAR P/ PONTALETE TRIFÁSICA 4 POLOS
