codigo_interno,categoria_atual,linha,produto_compra,eixo_a,eixo_b,novo_sku,h1,h2,h3,h4,h5,sku_atual
MCZ-7UL,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,BLOCO DE CONCRETO,14 X 19 X 39,,BLOCO DE CONCRETO 14 X 19 X 39,BLOCO DE CONCRETO,14 X 19 X 39,,,,BLOCO DE CONCRETO 14 X 19 X 39
U72-6P7,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,BLOCO DE CONCRETO,09 X 19 X 39,,BLOCO DE CONCRETO 09 X 19 X 39,BLOCO DE CONCRETO,09 X 19 X 39,,,,BLOCO DE CONCRETO 09 X 19 X 39
A1D-9TQ,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,CAL SUPERCAL,5 KILO,,CAL SUPERCAL 5 KILO,CAL SUPERCAL,5 KILO,,,,CAL SUPERCAL 5 KILO
1LZ-Q4B,A - MATERIAIS BÁSICOS,CIMENTO,CIMENTO BRANCO,01 KG #G,,CIMENTO BRANCO 01 KG #G,CIMENTO BRANCO,01 KG #G,,,,CIMENTO BRANCO 01 KG #G
510-4Z4,A - MATERIAIS BÁSICOS,CIMENTO,CIMENTO PORTLAND,"42,5 KG",,"CIMENTO PORTLAND 42,5 KG",CIMENTO PORTLAND,"42,5 KG",,,,"CIMENTO PORTLAND 42,5 KG"
3HF-TI0,A - MATERIAIS BÁSICOS,VERGALHÃO,ESTRIBO,7 X 27 CM,(CAIXA C/200),ESTRIBO 7 X 27 CM (CAIXA C/200),ESTRIBO,7 X 27 CM,(CAIXA C/200),,,ESTRIBO 7 X 27 CM (CAIXA C/200)
R4A-FXB,A - MATERIAIS BÁSICOS,VERGALHÃO,ESTRIBO,7 X 17 CM,(CAIXA C/200),ESTRIBO 7 X 17 CM (CAIXA C/200),ESTRIBO,7 X 17 CM,(CAIXA C/200),,,ESTRIBO 7 X 17 CM (CAIXA C/200)
RJI-U94,A - MATERIAIS BÁSICOS,VERGALHÃO,ESTRIBO,17 X 17 CM,(CAIXA C/200),ESTRIBO 17 X 17 CM (CAIXA C/200),ESTRIBO,17 X 17 CM,(CAIXA C/200),,,ESTRIBO 17 X 17 CM (CAIXA C/200)
XR1-ZRK,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,PONTALETE GALVANIZADO LEVE BIFASICO,,,PONTALETE GALVANIZADO LEVE BIFASICO,PONTALETE GALVANIZADO LEVE BIFASICO 3 MT,,,,,PONTALETE GALVANIZADO LEVE BIFASICO 3 MT
3HN-RAN,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,PONTALETE GALVANIZADO LEVE MONOFÁSICO,,,PONTALETE GALVANIZADO LEVE MONOFÁSICO,PONTALETE GALVANIZADO LEVE MONOFÁSICO 3,,,,,PONTALETE GALVANIZADO LEVE MONOFÁSICO 3
49S-08P,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,SEIXO,,,SEIXO,SEIXO,,,,,SEIXO
V7M-ZMJ,A - MATERIAIS BÁSICOS,THINNER,THINNER LUKSNOVA 237,900 ML,,THINNER LUKSNOVA 237 900 ML,THINNER LUKSNOVA SUPER-EXTRA 237 900 ML,,,,,THINNER LUKSNOVA SUPER-EXTRA 237 900 ML
JGW-WK2,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,TIJOLO 18x19,,,TIJOLO 18x19,TIJOLO 18x19,,,,,TIJOLO 18x19
E61-M3X,A - MATERIAIS BÁSICOS,MATERIAIS BÁSICOS,TIJOLO DE,,,TIJOLO DE,TIJOLO DE VIDRO,,,,,TIJOLO DE VIDRO
30Q-O3A,A - MATERIAIS BÁSICOS,VERGALHÃO,VERGALHÃO,12M,"10,0 mm - 3/8'","VERGALHÃO 12M 10,0 mm - 3/8'",VERGALHÃO DE FERRO,12M,"10,0 mm - 3/8'",,,"VERGALHÃO DE FERRO 12M 10,0 MM - 3/8'"
5NJ-85T,A - MATERIAIS BÁSICOS,VERGALHÃO,VERGALHÃO,12M,"06,3 mm - 1/4'","VERGALHÃO 12M 06,3 mm - 1/4'",VERGALHÃO DE FERRO,12M,"06,3 mm - 1/4'",,,"VERGALHÃO DE FERRO 12M 06,3 MM - 1/4'"
6PK-LII,A - MATERIAIS BÁSICOS,VERGALHÃO,VERGALHÃO,12M,"05,0 mm- 3/16'","VERGALHÃO 12M 05,0 mm- 3/16'",VERGALHÃO DE FERRO,12M,"05,0 mm- 3/16'",,,"VERGALHÃO DE FERRO 12M 05,0 MM- 3/16'"
9DX-1X2,A - MATERIAIS BÁSICOS,VERGALHÃO,VERGALHÃO,06M,"12,7 mm - 1/2'","VERGALHÃO 06M 12,7 mm - 1/2'",VERGALHÃO DE FERRO,06M,"12,7 mm - 1/2'",,,"VERGALHÃO DE FERRO 06M 12,7 MM - 1/2'"
MK3-DTC,A - MATERIAIS BÁSICOS,VERGALHÃO,VERGALHÃO,12M,"04,2 mm - 3/16'","VERGALHÃO 12M 04,2 mm - 3/16'",VERGALHÃO DE FERRO,12M,"04,2 mm - 3/16'",,,"VERGALHÃO DE FERRO 12M 04,2 MM - 3/16'"
S0B-VHV,A - MATERIAIS BÁSICOS,VERGALHÃO,VERGALHÃO,12M,"08,0 mm - 5/16'","VERGALHÃO 12M 08,0 mm - 5/16'",VERGALHÃO DE FERRO,12M,"08,0 mm - 5/16'",,,"VERGALHÃO DE FERRO 12M 08,0 MM - 5/16'"
U0E-HK2,A - MATERIAIS BÁSICOS,VERGALHÃO,VERGALHÃO,12M,"12,7 mm - 1/2'","VERGALHÃO 12M 12,7 mm - 1/2'",VERGALHÃO DE FERRO,12M,"12,7 mm - 1/2'",,,"VERGALHÃO DE FERRO 12M 12,7 MM - 1/2'"
0Y7-XU3,B - COBERTURAS E FORROS,MATERIAIS BÁSICOS,COMPENSADO,20 X 1,,COMPENSADO 20 X 1,COMPENSADO,"2,20 X 1,10 X 18,00 MM",,,,"COMPENSADO 2,20 X 1,10 X 18,00 MM"
7RX-QB4,B - COBERTURAS E FORROS,MATERIAIS BÁSICOS,COMPENSADO,44 X 1,,COMPENSADO 44 X 1,COMPENSADO,"2,44 X 1,22 X 04,00 MM",,,,"COMPENSADO 2,44 X 1,22 X 04,00 MM"
AY6-J2X,B - COBERTURAS E FORROS,MATERIAIS BÁSICOS,COMPENSADO,20 X 1,,COMPENSADO 20 X 1,COMPENSADO,"2,20 X 1,10 X 10,00 MM",,,,"COMPENSADO 2,20 X 1,10 X 10,00 MM"
