produto compra;cor;estoque;compra pendente;custo médio;preço venda médio;legados;destino;motivo
TINTA ESMALTE SINTETICO · LT;AZUL FRANÇA;6;12,00;14,48;21,72;2;core;estoque 6 · compra pendente 12 un
TINTA ESMALTE SINTETICO · LT;AZUL MAR;0;12,00;22,37;30,45;1;core;compra pendente 12 un
TINTA ESMALTE SINTETICO · LT;BRANCO NEVE;0;18,00;18,67;24,27;2;core;compra pendente 18 un
TINTA ESMALTE SINTETICO · LT;CINZA MEDIO;3;6,00;14,48;21,72;2;core;estoque 3 · compra pendente 6 un
TINTA ESMALTE SINTETICO · LT;CREME;1;0,00;20,22;30,33;1;core;estoque 1
TINTA ESMALTE SINTETICO · LT;LARANJA;0;6,00;22,37;30,45;1;core;compra pendente 6 un
TINTA ESMALTE SINTETICO · LT;PRETO;0;12,00;22,37;30,45;1;core;compra pendente 12 un
TINTA ESMALTE SINTETICO · LT;TABACO;0;12,00;22,37;30,45;1;core;compra pendente 12 un
TINTA ESMALTE SINTETICO · LT;VERDE FOLHA;0;12,00;22,37;30,45;1;core;compra pendente 12 un
TINTA ESMALTE SINTETICO · LT;VERDE LIMAO;0;12,00;22,37;30,45;1;core;compra pendente 12 un
TINTA ESMALTE SINTETICO · LT;VERMELHO;5;0,00;14,48;21,72;1;core;estoque 5
TINTA ESMALTE SINTETICO · LT;VERMELHO GARANTIDO;3;0,00;20,00;30,00;1;core;estoque 3
TINTA P/ PISO · BD;AZUL;2;0,00;187,11;280,67;1;core;estoque 2
TINTA P/ PISO · BD;VERDE;2;0,00;187,11;280,67;1;core;estoque 2
TINTA P/ PISO · BD;VERMELHO SEGURANÇA #G;3;0,00;84,16;126,24;1;core;estoque 3
TINTA P/ PISO · GL;AZUL;4;0,00;49,11;73,66;1;core;estoque 4
TINTA P/ PISO · GL;BRANCO NEVE;1;0,00;46,17;61,95;1;core;estoque 1
TINTA P/ PISO · GL;CINZA;3;0,00;49,10;73,65;1;core;estoque 3
TINTA P/ PISO · GL;VERDE;3;0,00;49,10;73,65;1;core;estoque 3
TINTA P/ PISO · GL;VERMELHO SEGURANÇA;5;0,00;49,10;73,65;1;core;estoque 5
TINTA SEMI-BRILHO · GL;AMARELO VANILLA;1;0,00;52,07;78,11;1;core;estoque 1
TINTA SEMI-BRILHO · GL;BRANCO NEVE #G;3;0,00;58,40;87,60;1;core;estoque 3
TINTA STANDARD POUPE+ · BD;POENTE;1;0,00;104,12;156,18;1;core;estoque 1
TINTA STANDARD POUPE+ · GL;AMARELO FREVO;1;0,00;29,50;44,25;1;core;estoque 1
TINTA STANDARD POUPE+ · GL;AREIA;1;0,00;29,81;44,72;1;core;estoque 1
TINTA STANDARD POUPE+ · GL;CREME;1;0,00;29,50;44,25;1;core;estoque 1
TINTA STANDARD POUPE+ · GL;MARFIM;1;0,00;29,50;44,25;1;core;estoque 1
TINTA STANDARD POUPE+ · GL;POENTE;1;0,00;29,50;44,25;1;core;estoque 1
