codigo;lote;motivo;nome_original;nome_actual_db;status;ativo
VV9-MRR;4;Torneira por uso;TORNEIRA BICA MÓVEL PAREDE SHB ABS 1/4 DE VOLTA DN15;TORNEIRA BICA MÓVEL PAREDE SHB ABS 1/4 DE VOLTA DN15;ok;true
M0Y-YQZ;4;Torneira por uso;TORNEIRA BICA MOVEL TIPO U IHP DN15;TORNEIRA BICA MOVEL TIPO U IHP DN15;ok;true
JMH-O79;4;Torneira por uso;TORNEIRA DE MESA PARA COZINHA CROMADA DN15;TORNEIRA DE MESA PARA COZINHA CROMADA DN15;ok;true
WOD-507;4;Torneira por uso;TORNEIRA DE PAREDE PARA COZINHA CROMADA DN15;TORNEIRA DE PAREDE PARA COZINHA CROMADA DN15;ok;true
VQ4-F7P;4;Torneira por uso;TORNEIRA ESF P/JARDIM MET 1/2;TORNEIRA ESF P/JARDIM MET 1/2;ok;true
82P-AN1;4;Torneira por uso;TORNEIRA GR P/LAVATORIO PLAST BRANCA 1 DN15;TORNEIRA GR P/LAVATORIO PLAST BRANCA 1 DN15;ok;true
OWB-EI4;4;Torneira por uso;TORNEIRA JARDIM/PAREDE PRETO  3/4;TORNEIRA JARDIM/PAREDE PRETO  3/4;ok;true
95S-Y0H;4;Torneira por uso;TORNEIRA P/LAVATORIO MESA ABS BRANCA SHB;TORNEIRA P/LAVATORIO MESA ABS BRANCA SHB;ok;true
820-9W1;4;Torneira por uso;TORNEIRA P/LAVATORIO MESA ACAB AQUILA COM AREJADOR ARTICULAD;TORNEIRA P/LAVATORIO MESA ACAB AQUILA COM AREJADOR ARTICULAD;ok;true
OM3-A0I;4;Torneira por uso;TORNEIRA PLASTICA COZINHA ALAVANCA 1/2;TORNEIRA PLASTICA COZINHA ALAVANCA 1/2;ok;true
HVM-PV2;4;Torneira por uso;TORNEIRA PLASTICA P/LAVATÓRIO 1/2;TORNEIRA PLASTICA P/LAVATÓRIO 1/2;ok;true
6MV-4A0;4;Torneira por uso;TORNEIRA PLASTICA PIA/LONGA COM CHUVEIRINHO 1/2;TORNEIRA PLASTICA PIA/LONGA COM CHUVEIRINHO 1/2;ok;true
303-DVF;4;Torneira por uso;TORNEIRA PLASTICA TANQUE CURTA COM CHUVEIRINHO 1/2;TORNEIRA PLASTICA TANQUE CURTA COM CHUVEIRINHO 1/2;ok;true
U63-RGG;4;Torneira por uso;TORNEIRA TANQUE/PAREDE 15CM 1/2 HERC;TORNEIRA TANQUE/PAREDE 15CM 1/2 HERC;ok;true
NUP-7QS;4;Torneira por uso;TORNEIRA TANQUE/PAREDE BRANCA  CROSS10 CM 1/2;TORNEIRA TANQUE/PAREDE BRANCA  CROSS10 CM 1/2;ok;true
IMN-IN8;4;Torneira por uso;TORNEIRA TANQUE/PAREDE BRANCA 15CM  1/2;TORNEIRA TANQUE/PAREDE BRANCA 15CM  1/2;ok;true
BK6-DME;4;Torneira por uso;TORNEIRA TANQUE/PAREDE C/ALAVANCA 15 CM 1/2;TORNEIRA TANQUE/PAREDE C/ALAVANCA 15 CM 1/2;ok;true
X9S-AEY;4;Produto avulso — revisar depois;TRENA  5MT;TRENA  5MT;ok;true
J1L-291;4;Nome curto + apresentação;TRENA 3M;TRENA 3M;ok;true
F0W-BAJ;4;Produto avulso — revisar depois;UNIAO ROSCAVEL 1;UNIAO ROSCAVEL 1;ok;true
ZTL-1BK;4;Produto avulso — revisar depois;VASSOURA METAL 180 ARAME REG C/ CABO;VASSOURA METAL 180 ARAME REG C/ CABO;ok;true
91J-T83;4;Nome curto + apresentação;KIT P/ ASSENTAMENTO DE PORTA (MARCO+VISTA) 0,8 X 2,10 M;KIT P/ ASSENTAMENTO DE PORTA (MARCO+VISTA) 0,8 X 2,10 M;ok;true
I4Z-LYJ;4;Massa/argamassa: produto + apresentação;MASSA ACRILICA (BD 5 KG) HIPERCOR;MASSA ACRILICA (BD 5 KG) HIPERCOR;ok;true
QDC-4CM;4;Nome curto + apresentação;PINCEL 3/4;PINCEL 3/4;ok;true
