codigo;lote;motivo;nome_original;nome_actual_db;status;ativo
Z97-NPR;2;Nome curto + apresentação;TAPA-FURO DE 32 MM;TAPA-FURO DE 32 MM;ok;true
6TE-3PD;2;Torneira por uso;TORNEIRA FILTRO BEBEDOURO;TORNEIRA FILTRO BEBEDOURO;ok;true
TY1-L16;2;Registro + medida;REGISTRO ESFERA PLASTICO 32MM SOLDAVEL - VEPS132;REGISTRO ESFERA PLASTICO 32MM SOLDAVEL - VEPS132;ok;true
R8S-5V1;2;Nome curto + apresentação;PLACA CEGA 4X2;PLACA CEGA 4X2;ok;true
40B-9CN;2;Produto avulso — revisar depois;PLUG ROSCAVEL 1;PLUG ROSCAVEL 1;ok;true
9XM-2JM;2;Produto avulso — revisar depois;LUVA DE RASPA C/ REFORÇO M/G;LUVA DE RASPA C/ REFORÇO M/G;ok;true
Z0Z-E1J;2;Produto avulso — revisar depois;TALHADEIRA CHATA  8;TALHADEIRA CHATA  8;ok;true
WX2-4P2;2;Nome curto + apresentação;NIPEL ROSCAVEL 3/4;NIPEL ROSCAVEL 3/4;ok;true
I11-YNG;2;Nome curto + apresentação;PINCEL 2 1/2;PINCEL 2 1/2;ok;true
XAR-W7A;2;Produto avulso — revisar depois;PROTETOR AURICULAR;PROTETOR AURICULAR;ok;true
7UH-XAA;2;Massa/argamassa: produto + apresentação;MASSA ACRILICA (BD 4 KG) LUX #G;MASSA ACRILICA (BD 4 KG) LUX #G;ok;true
ZQ7-6MQ;2;Produto avulso — revisar depois;PINCEL 2;PINCEL 2;ok;true
QO0-PW5;2;Conexão hidráulica;TE ESGOTO 40MM;TE ESGOTO 40MM;ok;true
3AM-Z6L;2;Nome curto + apresentação;PINCEL 1 1/2;PINCEL 1 1/2;ok;true
BJU-Y8R;2;Produto avulso — revisar depois;PRUMO HOBBY DE CENTRO 300G;PRUMO HOBBY DE CENTRO 300G;ok;true
190-S7N;2;Produto avulso — revisar depois;PINCEL 1;PINCEL 1;ok;true
W70-3U1;2;Iluminação;SPOT LED AUXILIAR GRANDE 06W RED 3000K;SPOT LED AUXILIAR GRANDE 06W RED 3000K;ok;true
FF6-WZ9;2;Registro + medida;REGISTRO ESFERA PLASTICO 20MM SOLDAVEL - VEPS120;REGISTRO ESFERA PLASTICO 20MM SOLDAVEL - VEPS120;ok;true
HO6-RZ8;2;Nome curto + apresentação;NIPEL ROSCAVEL 1 1/2;NIPEL ROSCAVEL 1 1/2;ok;true
H05-FSM;2;Produto avulso — revisar depois;NIPEL ROSCAVEL 1;NIPEL ROSCAVEL 1;ok;true
BW8-DQR;2;Produto avulso — revisar depois;ANEL DE VEDAÇÃO P/ VASO SANITÁRIO;ANEL DE VEDAÇÃO P/ VASO SANITÁRIO;ok;true
NPH-H9H;2;Produto avulso — revisar depois;BOCA DE LOBO;BOCA DE LOBO;ok;true
GI2-CPP;2;Produto avulso — revisar depois;CAIXA DE;CAIXA DE;ok;true
H9D-I9B;2;Produto avulso — revisar depois;CAIXA DE STOP P/AR CONDICIONADO;CAIXA DE STOP P/AR CONDICIONADO;ok;true
7RL-R5W;2;Produto avulso — revisar depois;CERAMICA A;CERAMICA A;ok;true
T9I-93U;2;Registro + medida;CHUVEIRO PVC COM REGISTRO;CHUVEIRO PVC COM REGISTRO;ok;true
DNG-4E9;2;Produto avulso — revisar depois;CINTO PARA FERRAMENTAS;CINTO PARA FERRAMENTAS;ok;true
R73-8OF;2;Produto avulso — revisar depois;CONJUNTO FIXAÇÃO P;CONJUNTO FIXAÇÃO P;ok;true
T6T-JOG;2;Produto avulso — revisar depois;CUNHA P/ ESPAÇADOR NIVELAMENTO (50PÇS);CUNHA P/ ESPAÇADOR NIVELAMENTO (50PÇS);ok;true
0L5-XFC;2;Nome curto + apresentação;DISCO DE CORTE P/ AÇO INOX 04,5 X 1/8;DISCO DE CORTE P/ AÇO INOX 04,5 X 1/8;ok;true
EHU-HA8;2;Nome curto + apresentação;DISCO DE CORTE P/ FERRO 04,5 X 1/8 X 7/8;DISCO DE CORTE P/ FERRO 04,5 X 1/8 X 7/8;ok;true
RXO-TL7;2;Nome curto + apresentação;DISCO DE CORTE P/ FERRO 07,0 X 1/8 X 7/8;DISCO DE CORTE P/ FERRO 07,0 X 1/8 X 7/8;ok;true
P9H-7PB;2;Produto avulso — revisar depois;DISCO DE DESBASTE › 7;DISCO DE DESBASTE › 7;ok;true
EMZ-7RR;2;Produto avulso — revisar depois;ESTILETE;ESTILETE;ok;true
6SR-F2F;2;Produto avulso — revisar depois;FERRO DE COVA;FERRO DE COVA;ok;true
V61-Y2Z;2;Produto avulso — revisar depois;FRETE;FRETE;ok;true
2FZ-SBM;2;Nome curto + apresentação;ISOLADOR TIPO ROLDANA 72 X 72MM;ISOLADOR TIPO ROLDANA 72 X 72MM;ok;true
GCE-8D1;2;Produto avulso — revisar depois;KIT P/ PINTURA BANDEJA+CABO+ROLO;KIT P/ PINTURA BANDEJA+CABO+ROLO;ok;true
A33-5XE;2;Produto avulso — revisar depois;LIMA TRIANGULAR P/ SERROTE;LIMA TRIANGULAR P/ SERROTE;ok;true
JB9-55T;2;Nome curto + apresentação;LIMPADOR DE REJUNTE DIÁRIO QUARTZOLIT 500 ML;LIMPADOR DE REJUNTE DIÁRIO QUARTZOLIT 500 ML;ok;true
WB7-OXF;2;Nome curto + apresentação;LINHA DE PEDREIRO- UNIFIO 100M;LINHA DE PEDREIRO- UNIFIO 100M;ok;true
Q4X-OJI;2;Produto avulso — revisar depois;LUBRIFICANTE A SECO GRAFITE CHEMICOLOR;LUBRIFICANTE A SECO GRAFITE CHEMICOLOR;ok;true
A6R-ELC;2;Produto avulso — revisar depois;MACHADO;MACHADO;ok;true
W1X-SW3;2;Nome curto + apresentação;MANGUEIRA CRISTAL DE NIVEL 1/4;MANGUEIRA CRISTAL DE NIVEL 1/4;ok;true
9PZ-G3O;2;Nome curto + apresentação;MANGUEIRA P/ MAQUINA DE LAVAR 1,40M;MANGUEIRA P/ MAQUINA DE LAVAR 1,40M;ok;true
FP5-V05;2;Massa/argamassa: produto + apresentação;MANTA LÍQUIDA BRANCA 4,5KG QUARTZOLIT - GL;MANTA LÍQUIDA BRANCA 4,5KG QUARTZOLIT - GL;ok;true
016-94X;2;Nome curto + apresentação;MARRETA OITAVADA 1,50KG C/CABO;MARRETA OITAVADA 1,50KG C/CABO;ok;true
F99-KB2;2;Nome curto + apresentação;MARRETA OITAVADA 3KG C/CABO MOMFORT;MARRETA OITAVADA 3KG C/CABO MOMFORT;ok;true
0AL-8O3;2;Massa/argamassa: produto + apresentação;MASSA ACRILICA (BD 20 KG) LUX #G;MASSA ACRILICA (BD 20 KG) LUX #G;ok;true
65D-NS3;2;Massa/argamassa: produto + apresentação;MASSA ASFALTICA - GL;MASSA ASFALTICA - GL;ok;true
GTU-H4G;2;Massa/argamassa: produto + apresentação;MASSA CORRIDA (BD 5 KG) HIPERCOR;MASSA CORRIDA (BD 5 KG) HIPERCOR;ok;true
G89-G92;2;Produto avulso — revisar depois;MECANISMO UNIVERSAL SUP;MECANISMO UNIVERSAL SUP;ok;true
296-CRW;2;Nome curto + apresentação;NICHO EMBUTIR CINZA URBANO 30X60;NICHO EMBUTIR CINZA URBANO 30X60;ok;true
XM9-J8O;2;Produto avulso — revisar depois;ÓCULOS DE SEGURANÇA TRANSPARENTES;ÓCULOS DE SEGURANÇA TRANSPARENTES;ok;true
421-C85;2;Produto avulso — revisar depois;PA DE BICO C/CABO;PA DE BICO C/CABO;ok;true
W5O-DN4;2;Produto avulso — revisar depois;PA QUADRADA C/CABO;PA QUADRADA C/CABO;ok;true
RVK-Q6J;2;Produto avulso — revisar depois;PARAFUSO P/ASSENTO SANITARIO;PARAFUSO P/ASSENTO SANITARIO;ok;true
5RU-2RW;2;Produto avulso — revisar depois;PAVER HEXAGONAL;PAVER HEXAGONAL;ok;true
9SN-VEG;2;Produto avulso — revisar depois;PAVER RETANG. 10,00 CM LARG X 20,00 CM COMP X 08,00 CM ESPES;PAVER RETANG. 10,00 CM LARG X 20,00 CM COMP X 08,00 CM ESPES;ok;true
RT1-3TP;2;Produto avulso — revisar depois;PENEIRA P/AREIA ARO 50;PENEIRA P/AREIA ARO 50;ok;true
4W9-RW2;2;Produto avulso — revisar depois;PIA PLASTICA ASTRA 8LTS 50X40CM BRANCO;PIA PLASTICA ASTRA 8LTS 50X40CM BRANCO;ok;true
916-3ZE;2;Nome curto + apresentação;PIA TRAMONTINA AÇO INOX 01CUBA 120X52;PIA TRAMONTINA AÇO INOX 01CUBA 120X52;ok;true
FCL-PD3;2;Nome curto + apresentação;PINCEL 1/2;PINCEL 1/2;ok;true
6TH-J15;2;Produto avulso — revisar depois;PINCEL PBRANCO ARTESANATO ROMA No.04;PINCEL PBRANCO ARTESANATO ROMA No.04;ok;true
J4P-V3G;2;Produto avulso — revisar depois;PINCEL PLANO ARTESANATO ROMA No.02;PINCEL PLANO ARTESANATO ROMA No.02;ok;true
BKP-1JE;2;Produto avulso — revisar depois;PLAFON PLASTICO PRETO;PLAFON PLASTICO PRETO;ok;true
899-UNV;2;Nome curto + apresentação;PLASTILON PVC 6M ARAFORROS;PLASTILON PVC 6M ARAFORROS;ok;false
RAY-B40;2;Produto avulso — revisar depois;PLUG ADAPTADOR C/ PINO 2P+T 147 PERLEX;PLUG ADAPTADOR C/ PINO 2P+T 147 PERLEX;ok;true
W05-F32;2;Produto avulso — revisar depois;PLUG ADAPTADOR C/ PINO 2P+T 157 PERLEX (UNIVERSAL);PLUG ADAPTADOR C/ PINO 2P+T 157 PERLEX (UNIVERSAL);ok;true
NQQ-YM9;3;Produto avulso — revisar depois;PLUG MACHO 10A;PLUG MACHO 10A;ok;true
I2O-4DJ;3;Nome curto + apresentação;PLUG ROSCAVEL 1 1/2;PLUG ROSCAVEL 1 1/2;ok;true
51U-AVM;3;Nome curto + apresentação;PLUG ROSCAVEL 1 1/4;PLUG ROSCAVEL 1 1/4;ok;true
1AF-XNZ;3;Nome curto + apresentação;PLUG ROSCAVEL 1/2;PLUG ROSCAVEL 1/2;ok;true
O53-OT9;3;Nome curto + apresentação;PLUG ROSCAVEL 3/4;PLUG ROSCAVEL 3/4;ok;true
3HN-RAN;3;Produto avulso — revisar depois;PONTALETE GALVANIZADO LEVE MONOFÁSICO 3;PONTALETE GALVANIZADO LEVE MONOFÁSICO 3;ok;true
L0L-B7T;3;Nome curto + apresentação;PORCELENATO 60X120 SAFIRA MATE OXIDO #L #F;PORCELENATO 60X120 SAFIRA MATE OXIDO #L #F;ok;true
9C8-BY4;3;Nome curto + apresentação;PORTA MADEIRA 0,80 X 2,10;PORTA MADEIRA 0,80 X 2,10;ok;true
VE3-568;3;Nome curto + apresentação;PORTA MDF FRISADA 0,80 X 2,10;PORTA MDF FRISADA 0,80 X 2,10;ok;true
0YM-46O;3;Nome curto + apresentação;PORTA MDF LISA 0,80 X 2,10;PORTA MDF LISA 0,80 X 2,10;ok;true
0ZR-3E1;3;Nome curto + apresentação;PORTA-CADEADO ZINCADO 2.1/2;PORTA-CADEADO ZINCADO 2.1/2;ok;true
HPE-M3T;3;Nome curto + apresentação;PORTA-CADEADO ZINCADO 3.1/2;PORTA-CADEADO ZINCADO 3.1/2;ok;true
RZD-4CB;3;Produto avulso — revisar depois;PREGOS ACO TEMPERADO 10X10MM;PREGOS ACO TEMPERADO 10X10MM;ok;true
RD0-IAB;3;Produto avulso — revisar depois;Produto EXEMPLO  - CHECAGEM -;Produto EXEMPLO  - CHECAGEM -;ok;true
D0K-Z9G;3;Nome curto + apresentação;QUADRO DE DISTRIBUIÇAO 12/16 - TIGRE;QUADRO DE DISTRIBUIÇAO 12/16 - TIGRE;ok;true
S8U-WCF;3;Produto avulso — revisar depois;QUADRO DE DISTRIBUIÇÃO 16 - KRONA;QUADRO DE DISTRIBUIÇÃO 16 - KRONA;ok;true
HDO-AP8;3;Nome curto + apresentação;QUADRO DE DISTRIBUIÇÃO 3/4 - TIGRE;QUADRO DE DISTRIBUIÇÃO 3/4 - TIGRE;ok;true
CGC-39G;3;Nome curto + apresentação;QUADRO DE DISTRIBUIÇÃO 9/6 - MECTRONIC;QUADRO DE DISTRIBUIÇÃO 9/6 - MECTRONIC;ok;true
EPA-7CM;3;Produto avulso — revisar depois;QUADRO DE DISTRIBUIÇÃO PARA EMBUTIR 12 PÓLOS - S/ BARRAMENTO;QUADRO DE DISTRIBUIÇÃO PARA EMBUTIR 12 PÓLOS - S/ BARRAMENTO;ok;true
COA-F09;3;Nome curto + apresentação;RALO CX SINF C/SAIDA ARTICULADA QUADRADO 100X100X50 - KRONA;RALO CX SINF C/SAIDA ARTICULADA QUADRADO 100X100X50 - KRONA;ok;true
S5Z-3PF;3;Registro + medida;REGISTRO ESFEERA SOLDAVEL 60MM PVC;REGISTRO ESFEERA SOLDAVEL 60MM PVC;ok;true
WNR-CI9;3;Registro + medida;REGISTRO ESFERA PLAST 25MM SOLDAVEL - VEPS125;REGISTRO ESFERA PLAST 25MM SOLDAVEL - VEPS125;ok;true
U8D-260;3;Registro + medida;REGISTRO ESFERA PLASTICO 25MM SOLDAVEL - VEPS125;REGISTRO ESFERA PLASTICO 25MM SOLDAVEL - VEPS125;ok;true
LQ7-MUY;3;Registro + medida;REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140;REGISTRO ESFERA PLASTICO 40MM SOLDAVEL - VEPS140;ok;true
TBN-RG2;3;Registro + medida;REGISTRO ESFERA ROSCÁVEL INTERNA 3/4 DIV;REGISTRO ESFERA ROSCÁVEL INTERNA 3/4 DIV;ok;true
ZJA-9CU;3;Registro + medida;REGISTRO ESFERA SOLDÁVEL 20MM PVC;REGISTRO ESFERA SOLDÁVEL 20MM PVC;ok;true
F0D-5LW;3;Registro + medida;REGISTRO ESFERA SOLDÁVEL 25MM PVC;REGISTRO ESFERA SOLDÁVEL 25MM PVC;ok;true
G9D-HYN;3;Registro + medida;REGISTRO HERC P/MAQ LAVAR BR 1/2;REGISTRO HERC P/MAQ LAVAR BR 1/2;ok;true
34Z-LW8;3;Registro + medida;REGISTRO HERC PRESSÃO ROSC C/CANOPLA 1/2;REGISTRO HERC PRESSÃO ROSC C/CANOPLA 1/2;ok;true
TJH-S7T;3;Registro + medida;REGISTRO PARA CHUVEIRO BRANCO 1/2;REGISTRO PARA CHUVEIRO BRANCO 1/2;ok;true
QS4-PSR;3;Registro + medida;REGISTRO PARA CHUVEIRO BRANCO 1/2;REGISTRO PARA CHUVEIRO BRANCO 1/2;ok;true
FHQ-02Z;3;Registro + medida;REGISTRO PARA CHUVEIRO BRANCO 3/4;REGISTRO PARA CHUVEIRO BRANCO 3/4;ok;true
44J-C1D;3;Registro + medida;REGISTRO PARA CHUVEIROBRANCO 3/4;REGISTRO PARA CHUVEIROBRANCO 3/4;ok;true
DRA-98G;3;Registro + medida;REGISTRO PRESSAO J2 DN15;REGISTRO PRESSAO J2 DN15;ok;true
E1K-1HU;3;Registro + medida;REGISTRO ROSCÁVEL HERC EXTERNA 20MM;REGISTRO ROSCÁVEL HERC EXTERNA 20MM;ok;true
NOB-34A;3;Registro + medida;REGISTRO ROSCÁVEL HERC EXTERNA 25MM;REGISTRO ROSCÁVEL HERC EXTERNA 25MM;ok;true
DN0-8DH;3;Nome curto + apresentação;RÉGUA PEDREIRO 2 M;RÉGUA PEDREIRO 2 M;ok;true
0R4-XH1;3;Nome curto + apresentação;RÉGUA PEDREIRO 3 M;RÉGUA PEDREIRO 3 M;ok;true
8T0-BZ8;3;Produto avulso — revisar depois;REGULADOR P/GAS SEM MANGUEIRA;REGULADOR P/GAS SEM MANGUEIRA;ok;true
0MM-9Y1;3;Produto avulso — revisar depois;REGULADOR P/GAS SEM MANGUEIRA;REGULADOR P/GAS SEM MANGUEIRA;ok;true
9B7-5P3;3;Produto avulso — revisar depois;ROLO DE ESPUMA 05 CM;ROLO DE ESPUMA 05 CM;ok;true
5CS-T74;3;Produto avulso — revisar depois;ROLO DE ESPUMA 09 CM;ROLO DE ESPUMA 09 CM;ok;true
PHT-U2K;3;Produto avulso — revisar depois;ROLO DE ESPUMA PROF 15CM;ROLO DE ESPUMA PROF 15CM;ok;true
Y90-TQH;3;Produto avulso — revisar depois;ROLO DE LA  05 CM;ROLO DE LA  05 CM;ok;true
PMV-947;3;Produto avulso — revisar depois;ROLO DE LA  09 CM;ROLO DE LA  09 CM;ok;true
GIG-51F;3;Produto avulso — revisar depois;ROLO DE LA 15 CM;ROLO DE LA 15 CM;ok;true
FD0-O28;3;Produto avulso — revisar depois;ROLO DE LA SINTETICA C/ CABO 23CM CONDOR;ROLO DE LA SINTETICA C/ CABO 23CM CONDOR;ok;true
DLI-E6N;3;Produto avulso — revisar depois;ROLO TEXTURA 23CM S/CABO ROMA;ROLO TEXTURA 23CM S/CABO ROMA;ok;true
MX7-JWJ;3;Produto avulso — revisar depois;SACA DE FIBRA;SACA DE FIBRA;ok;true
B26-D8C;3;Tinta/verniz: produto + volume;SELADOR P/ MADEIRA INCOLOR IQUINE - LT;SELADOR P/ MADEIRA INCOLOR IQUINE - LT;ok;true
Z77-V3I;3;Produto avulso — revisar depois;SERROTE 20;SERROTE 20;ok;true
D9R-QDT;3;Produto avulso — revisar depois;SIFAO PLASBOHN DUPLO;SIFAO PLASBOHN DUPLO;ok;true
8CO-JNC;3;Nome curto + apresentação;SILICONE ACETICO BRANCO 250ML;SILICONE ACETICO BRANCO 250ML;ok;true
J2V-RAX;3;Produto avulso — revisar depois;SILICONE ACÉTICO INCOLOR 240G;SILICONE ACÉTICO INCOLOR 240G;ok;true
